,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
857,"Loving Foods Award Winning *Certified Organic* Matcha & Mint Kombucha (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (1 x Bottle)",B06XYV7KLJ,Loving Foods,2.95,,0,242912,,1,4,1,8,0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
858,"Vita Organic Kombucha Mix Pack (6 x 330 ml Bottles) - Peach, Strawberry, Raspberry, Elderflower, Cranberry and Cinnamon & Apple",B085WGBXC8,vitaorganic,,,,246814,,1,4,3,8,0,,Fresh & Chilled,Large Oversize,FBA,7.2x7.6x5.1,5.16,3/13/2020
859,"Lo Bros Organic Kombucha Passionfruit, 12 x 330ml, , Single bottle, 3960 millilitre",B07DPS5L7Q,Lo Bros,29.27,,0,250873,6.98,5,1,1,3,0,Best4Deals,Fresh & Chilled,Large Oversize,MFN,2.4x8.2x2.3,1.26,06-12-2018
860,"MOMO Kombucha, Handcrafted Organic Raspberry-Hibiscus Kombucha Tea, Fermented Probiotic Drink, Certified Organic - 330ml Glass Bottle (Pack of 12)",B09BW81RQG,Momo Kombucha,45,1,45,249689,,1,5,1,1,0,MOMO Kombucha Ltd,Fresh & Chilled,,MFN,,,08-04-2021
861,Vita Organic Kombucha Mix Pack with 6 Different Flavours (12 x 330 ml Bottles). Raw Unpasteurised Fermented Tea Drink,B084G79DC4,vitaorganic,,,,257067,,1,4,4,8,0,,Fresh & Chilled,Large Oversize,FBA,7.8x10.1x7.1,9.7,02-03-2020
862,Nettle & Rosehip Kombucha Tea by Blighty Booch | |12 x 330ml Bottles | Live Probiotic |of&G Certified| Healthy Soft Drink | Naturally Fizzy,B08K94HRDC,Blighty Booch Kombucha,38,2,76,260417,,1,,,8,0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,,MFN,,,9/28/2020
863,"MOMO Kombucha, Handcrafted Organic Elderflower Kombucha Tea, Fermented Probiotic Drink, Certified Organic - 330ml Glass Bottle (Pack of 12)",B09BWRTDV2,Momo Kombucha,45,,0,261044,,1,,,1,0,MOMO Kombucha Ltd,Fresh & Chilled,,MFN,,,08-04-2021
864,Real Kombucha | Dry Dragon Kombucha | 24 x 275ml (UK),B084G7D165,REAL Kombucha,64.76,,0,272053,,3,,,1,0,SuperfoodUK,Fresh & Chilled,,MFN,,,02-03-2020
865,Original Kombucha Tea from Blighty Booch | |12 x 330ml Bottles | Live Probiotic |of&G Certified| Healthy Soft Drink | Naturally Fizzy,B085GJ34XS,Blighty Booch Kombucha,38,,0,275475,,1,3,2,6,0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,,MFN,,,03-04-2020
866,"Love Kombucha Original Organic Kombucha, 500 ml",B074RQRJWW,love kombucha,,,,288865,,1,3,3,5,0,,Fresh & Chilled,Large Oversize,,2.8x10.5x2.8,2.06,01-01-2017
867,"MOMO Kombucha, Handcrafted Organic Ginger-Lemon Kombucha Tea, Fermented Probiotic Drink, Certified Organic - 330ml Glass Bottle (Pack of 12)",B09BWZK9S5,Momo Kombucha,45,1,45,289186,,1,,,1,0,MOMO Kombucha Ltd,Fresh & Chilled,,MFN,,,08-04-2021
868,Real Kombucha | Royal Flush Kombucha | 24 x 275ml (UK),B084G75XH8,REAL Kombucha,70.47,,0,293659,,2,,,1,0,SuperfoodUK,Fresh & Chilled,,MFN,,,02-03-2020
869,Organic Sencha Kombucha 6 x 750ml,B08BCS7HYG,Mighty Brew,,,,300175,,1,,,1,0,,Fresh & Chilled,Large Oversize,MFN,15.7x15.7x11.8,2.2,6/17/2020
870,"Nunc Jun-Kombucha - Hops Monster (12 x 330ml cans). A Handcrafted Non-Alcoholic Drink, Fermented with Green Tea and raw Honey.",B088DZ6T5N,Nunc,31.99,,0,303597,,1,4,3,7,0,,Fresh & Chilled,,MFN,,,05-08-2020
871,Cherry Kombucha Tea by Blighty Booch | |12 x 330ml Bottles | Live Probiotic |of&G Certified| Healthy Soft Drink | Naturally Fizzy,B085GJ14ST,Blighty Booch Kombucha,38,,0,325433,,1,5,1,7,0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,,MFN,,,03-04-2020
872,Left Field Kombucha No.3 Oolong (The Floral one) - 330ml (16),B08234C66P,Left Field Kombucha,,,,349565,,1,5,2,3,0,,Fresh & Chilled,,,,,11/26/2019
873,Wild Fizz Kombucha Apple & Elderflower Organic 250 ml (1 Case of 12 Cans),B084Z6RQRK,Wild Fizz Kombucha,,,,358459,,1,5,1,3,0,,Fresh & Chilled,,MFN,,,2/19/2020
874,Wild Fizz Kombucha Strawberry & Rhubarb Organic 250 ml (1 Case of 12 Cans),B084Z39YF8,Wild Fizz Kombucha,,,,365764,,1,5,1,3,0,,Fresh & Chilled,,MFN,,,2/19/2020
875,Equinox Kombucha Wild Berry (275Ml) Gluten Free Organic Added Sugar Vegan,B00EORFVKE,Equinox Kombucha,8.95,,0,388439,,1,3,1,1,0,My Beauty And Care,Fresh & Chilled,,MFN,,,8/21/2013
876,Left Field Kombucha No.1 Yunnan Black (The Earthy one) 330ml (16),B081ZGG7Z8,Left Field Kombucha,,,,397865,,1,5,1,5,0,,Fresh & Chilled,,,,,11/24/2019
877,"VIGO Remedy Kombucha Tea 330 ml, Acerola+Ginger Flavour | 8 x 330 ml Longbrew, Unpasteurized, PRO-Health Herbal Kombucha Beverage, Fermented Tea with Fruit extrtacts",B087FYM2KT,VIGO,,,,434601,,1,,,6,0,,Fresh & Chilled,,MFN,,,5/14/2020
878,Vita Organic Kombucha Cranberry Pack of 12 Bottles (330ml).,B085WFSFDT,vitaorganic,,,,435856,,1,,,2,0,,Fresh & Chilled,,MFN,,,3/13/2020
879,"No.1 Living Kombucha – Cola Flavour – 12 x 250ml Cans – Sugar Free, Great Tasting Authentically Brewed Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B08LDY1D3Z,No 1 Living,,,,438310,,1,,,6,0,,Fresh & Chilled,Large Oversize,MFN,6.7x8.7x5.7,7.03,10/19/2020
880,Left Field Kombucha No.2 Sencha Green (The Zesty one) 330ml (16),B081XZX73Q,Left Field Kombucha,,,,469264,,1,,,3,0,,Fresh & Chilled,,,,,11/24/2019
881,Organic Jasmine Kombucha 6 x 750ml,B08BCS944G,Mighty Brew,,,,478406,,1,,,1,0,,Fresh & Chilled,,MFN,11.8x15.7x11.8,,6/17/2020
882,"VIGO Remedy Kombucha Tea 330 ml, Cucumber Flavour | 8 x 330 ml Longbrew, Unpasteurized, PRO-Health Herbal Kombucha Beverage, Fermented Tea with Fruit extrtacts",B088LQQ3LS,VIGO,,,,502271,,1,5,1,7,0,,Fresh & Chilled,,MFN,,,5/14/2020
883,Vita Organic Kombucha Apple and Cinnamon Pack of 12 Bottles (330ml).,B085WFK29Q,vitaorganic,,,,513498,,1,,,2,0,,Fresh & Chilled,,MFN,,,3/13/2020
884,Thorncroft | Kombucha | 1 x 330ml,B01EEA1RLC,Thorncroft,6.84,,0,519243,,1,,,1,0,Superfood Market,Fresh & Chilled,,MFN,,,4/17/2016
885,Left Field Kombucha No.4 Darjeeling (The Fruity one) - 330ml (16),B083M2LYP9,Left Field Kombucha,,,,523106,,1,5,1,3,0,,Fresh & Chilled,,,,,11/24/2019
886,Thorncroft | Kombucha | 2 x 330ml,B01EEA19DS,Thorncroft,10.04,,0,526615,,1,,,1,0,Superfood Market,Fresh & Chilled,,MFN,,,4/17/2016
887,Actimel Multifruit Drinking Yogurts 12 x 100g,B07W5FQWFR,Actimel,7.99,10,80,47103,,1,5,10,1,0,,Fresh & Chilled,,MFN,,,08-06-2019
888,"Agua de Madre Remedio Naturale | Natural Ginger and Lemon Infusion | Mix into Hot Water for an Immunity Boosting Hot Drink | Organic, Plant Based Immunity Booster | Made in the UK (2X250gms Jars)",B092WN5NZ6,Agua De Madre,12,11,132,71200,,1,5,4,7,0,Flor De Madre,Fresh & Chilled,,MFN,,,4/19/2021
889,"Agua de Madre Water Kefir Mixed Starter Pack | Refreshing Low Alcohol Sparkling Live Probiotic Drinks | Vegan, Low Sugar, Organic Ingredients | Made in the UK | 6 Mixed Flavours (6x33cl)",B092W2ZYDM,Agua De Madre,21.2,13,276,74019,,1,5,20,7,0,Flor De Madre,Fresh & Chilled,,MFN,,,6/22/2021
890,Nourish Kefir Goats Kefir 247ml x 8 Bottles,B081QJW8GR,Nourish Kefir,,7,,78015,,1,5,1,1,0,,Fresh & Chilled,,MFN,,,11/19/2019
891,Actimel Multifruits Drinking Yogurts 8 x 100g,B07W4CJQT2,Actimel,5.99,5,30,84297,,1,4,7,1,0,,Fresh & Chilled,,MFN,,,08-06-2019
892,"Bio-tiful Kefir, 500ml",B00MBH8B7Y,Biotiful Dairy,2.65,1,3,107221,,1,5,214,4,6,,Fresh & Chilled,Large Oversize,,2.7x7.8x2.6,1.18,12/15/2015
893,"Yakult Probiotic Milk Beverage 0% Fat, 7 x 65ml",B004NLRM8A,Yakult,3.55,1,4,110597,,1,5,194,7,4,,Fresh & Chilled,Large Oversize,,3.0x10.5x1.6,1.12,9/30/2015
894,"Yakult Fermented Light Milk Drink, 7 x 65ml",B015Z9NIWW,Yakult,3,,0,135048,,2,5,217,6,7,,Fresh & Chilled,Large Oversize,,3.0x10.5x1.6,1.13,9/30/2015
895,Actimel Vanilla Drinking Yogurts 8 x 100g,B07W5HMJS8,Actimel,5.99,5,30,134423,,1,5,3,1,0,,Fresh & Chilled,,MFN,,,08-06-2019
896,"Biotiful Kefir Cherry, 250ml",B01EV58O0M,Bio-tiful,1.45,,0,144018,,1,5,115,2,2,,Fresh & Chilled,Large Oversize,,2.1x6.1x2.0,0.63,4/27/2016
897,Biotiful Kefir Organic Baked Milk 250ml,B00MBH8BQA,Biotiful Dairy,,,,149028,,1,5,5,5,0,,Fresh & Chilled,Large Oversize,,2.0x6.0x2.0,0.63,12/15/2015
898,"Biotiful Kefir Original, 250ml",B01N2XM7UM,Biotiful Dairy,1.45,,0,198483,,1,5,82,8,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.1x5.8x2.0,0.68,11/20/2019
899,"Bio-tiful Dairy Kefir Yogurt, 250 ml",B00MBH8APM,Bio-tiful Dairy,,,,199847,,1,5,2,4,0,,Fresh & Chilled,Large Oversize,,2.0x6.0x2.0,0.63,12/15/2015
900,Actimel 0% Fat Original Drinking Yogurts 8 x 100g,B07W6FQ8LN,Actimel,5.99,,0,201027,3.15,1,5,4,1,0,,Fresh & Chilled,Large Oversize,MFN,4.1x10.3x3.5,2.98,08-06-2019
901,"Bio-tiful Dairy Organic Riazhenka Yogurt, 500 ml",B00MBH8CNW,Bio-tiful Dairy,,,,249149,,1,5,1,5,0,,Fresh & Chilled,Large Oversize,,2.7x7.8x2.6,1.18,12/15/2015
902,Fermented Fusions – Organic & Vegan Certified Water Kefir Drink Infused with Blueberry - 6 x 500ml,B08LVVB54Y,Freshly Fermented,,,,283822,,1,,,6,0,,Fresh & Chilled,,MFN,,,10/26/2020
903,Freshly Fermented – Organic Certified Blueberry and Elderberry Water Kefir Drink - 6 x 500ml Bottles,B07SW6XLCF,Freshly Fermented,25,,0,298973,,1,,,6,0,Freshly Fermented®,Drinks,,MFN,,,4/20/2019
904,Lemon Kefir,B08463MD97,Mount Olympus Pure Foods,,,,497825,,1,,,2,0,,Fresh & Chilled,,MFN,,,1/24/2020
905,Peach Kefir,B0845TH7BN,Mount Olympus Pure Foods,,,,497826,,1,,,3,0,,Fresh & Chilled,,,,,1/24/2020
906,Greek Kefir (300),B08465CHLY,Mount Olympus Pure Foods,,,,500533,,1,,,1,0,,Fresh & Chilled,,MFN,,,1/24/2020
907,"Biomel Dark Chocolate Coconut Shot, 125ml",B07MDGS17K,Biomel,,,,524317,,1,4,25,1,0,,Fresh & Chilled,Small Oversize,,1.8x4.1x1.8,0.31,2/24/2019
908,"Bio-tiful Kefir Drink, 500 ml",B01NCPUMN9,Bio-tiful Kefir,,,,546773,,1,,,7,0,,Fresh & Chilled,Large Oversize,,2.7x7.8x2.6,1.23,12/26/2016
909,"Cawston Press Apple & Elderflower Pressed Juice, 1 l, Pack of 6",B01LB6ZWLI,Cawston Press,13.8,5045,69621,441,7.39,4,5,1590,5,50,Amazon,Fresh & Chilled,Large Oversize,AMZ,8.7x10.0x6.6,14.75,6/27/2019
910,"MOJU Ginger Dosing Bottles (4x500ml) | 17.2g of Fresh Pressed Ginger Root in Every Shot | Your Plant Powered Morning Wake Up/Afternoon Lift | Whole Ingredients, Nothing Artificial | 8+Shots per Bottle",B08XZRHJF1,MOJU,28.1,878,24672,1933,,1,5,287,7,142,MOJU Drinks,Fresh & Chilled,,MFN,,,11-11-2020
911,Biona Organic Cranberry Pure Super Juice 330 ml (Pack of 1),B08124W9FX,Biona Organic,5.38,787,4234,4066,2.94,2,4,566,3,13,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.9x8.9x2.8,1.17,11/19/2019
912,"ROAR Shots, NEW Acai Shot Pack, Refreshing Natural Energy Health Shot to help boost the immune system. Vitamin C. (6 x 60ml)",B0999SR6X7,Roar Shots,12,126,1512,8113,4.34,1,5,13,7,4,Roar Shots,Fresh & Chilled,Large Oversize,FBA,4.3x5.8x3.7,1.72,7/13/2021
913,"Robinsons SQUASH'D, No Added Sugar, Real Fruit, Orange, Makes 20 Drinks Per Pack, 6 Packs",B07C7CQJLL,Robinsons,16.99,152,2582,9976,4.8,29,5,480,5,2,JW WORLD,Fresh & Chilled,Large Oversize,FBA,6.1x8.0x1.8,1.19,5/18/2018
914,"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Apple & Blackcurrant, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B00J3WOEDK,Robinsons,19,202,3838,9493,5.41,12,5,2001,5,8,MAMA MART LTD,Fresh & Chilled,Large Oversize,FBA,5.4x6.6x4.4,1.41,06-04-2015
915,Belvoir Farm Elderflower and Rose Cordial 500 ml (Pack of 6),B01CJXDPHA,BELVOIR FRUIT FARMS,19.8,75,1485,28368,8.31,2,5,42,6,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,11.6x12.3x6.1,13.6,6/22/2015
916,"The Turmeric Co - Liquid Turmeric Drink Shots - High Strength 35000mg of Fresh Turmeric Root with Black Pepper, Pineapple, Lemon, Flax Oil, No Added Water, 28 Shots Cold Pressed, Vegan - Made in UK",B08W5GXKX6,The Turmeric Co.,66.99,208,13934,11985,,1,4,161,7,0,Innate-Essence Limited,Fresh & Chilled,,MFN,,,11-10-2021
917,"Unrooted - ACV Defence Healthy Functional Shot, Good Gut, 12 x 60ml Bottles, Ginger & Baobab",B0886GV2VK,Unrooted,24.99,144,3599,15607,6.73,1,4,166,7,5,Unrooted,Fresh & Chilled,Large Oversize,FBA,5.3x6.8x4.4,3.54,05-04-2020
918,Slush Puppie Pouches- Blue Raspberry 3 Pack,B08V1FN4B9,Slush puppie,9.44,14,132,43791,4.01,7,4,16,7,0,Aflahgoodsltd,Fresh & Chilled,Large Oversize,FBA,3.7x8.7x3.0,1.76,1/26/2021
919,"The Turmeric Co - Turmeric Shots with Black Pepper, 35g Fresh Turmeric and Ginger Shot, Turmeric + Beetroot Fresh Shots, Box of 7, High Strength, 3 Different Flavours, Vegan, Supplements Made in UK",B08XBQWRJD,The Turmeric Co.,19.99,46,920,39727,,1,4,15,7,0,Innate-Essence Limited,Fresh & Chilled,,MFN,,,02-10-2021
920,Slush Puppie Pouches Mixed Flavours 6 Pack,B08V13G1F8,Slush puppie,15.47,33,511,41180,5.28,8,4,31,8,1,Ocean Boulevard Ltd,Fresh & Chilled,Large Oversize,FBA,6.3x6.7x6.1,3.66,1/26/2021
921,Frobishers Pineapple Juice 250ml (Pack of 12),B09C5TZQ1N,Frobishers,21.95,8,176,46863,,1,,,2,0,MysticMoments,Fresh & Chilled,,MFN,,,7/21/2021
922,"The Turmeric Co, Ginger Shot with Turmeric and Black Pepper, High Strength 16g Raw Ginger Root & 35g Fresh Turmeric Root, 9 Shots Cold Pressed, No Added Sugar, Vegan, Supplements Made in UK",B0786RWZ83,The Turmeric Co.,,206,,69776,,1,5,86,7,-76,,Fresh & Chilled,,MFN,,,2/15/2021
923,Slush Puppie Pouches Sour Cherry 3 Pack,B08TZQLX6T,Slush puppie,9.9,5,50,63320,3.31,5,5,4,7,0,Aflahgoodsltd,Fresh & Chilled,Large Oversize,FBA,4.8x8.5x2.8,1.75,1/26/2021
924,Robinsons Apple & Pear Fruit Shoot Juiced - 24x200ml,B08BPB9C7F,Robinsons,29.99,2,60,77932,9.71,1,,,1,0,FoodServiceDirect,Fresh & Chilled,Large Oversize,MFN,8.5x14.0x4.9,12.02,03-09-2018
925,"Nosh Detox - The Raw Veggie Green Juice Detox Smoothie, All-Natural Freshly Bottled and Ready-to-Drink Detox Juices for Weight Loss, Broccoli, Avocado, Parsley, and Peach, 8 Bottles x 250ml",B08ZH6RF8R,Nosh,34.19,25,855,77782,,1,5,34,7,0,,Fresh & Chilled,,MFN,,,3/24/2021
926,"Robinsons SQUASH'D, 0 Percent Sugar, Real Fruit Squash, Low Calorie, Citrus, Makes 20 Drinks Per Pack, 6 x 66 ml Packs",B01GE2RRUS,Robinsons,,6,,81522,,1,5,95,5,0,,Fresh & Chilled,Large Oversize,FBA,5.4x6.5x4.5,1.41,5/24/2016
927,"Innocent Smooth Orange Juice, 1.35L",B0132FLLY8,Innocent,2.05,5,10,86501,,1,5,745,1,13,,Fresh & Chilled,Large Oversize,,4.0x9.4x4.0,3.27,7/31/2015
928,Frobishers Cranberry Juice 250ml (Pack of 6),B07VWG9XZN,Frobishers,13.95,1,14,81588,,1,,,2,0,MysticMoments,Fresh & Chilled,,MFN,,,7/29/2019
929,Rubicon Guava 1L x12 Price Marked,B07RGG69B8,Rubicon,20.49,15,307,88644,,7,5,6,1,0,SHANZA DEPARTMENTAL'S,Fresh & Chilled,,MFN,,,05-05-2019
930,"Tropicana Smooth, 1.75L",B08TNXZ26V,Tropicana,4,3,12,91664,,1,5,371,7,3,,Fresh & Chilled,Large Oversize,,3.9x9.4x3.7,4.19,1/21/2021
931,Slush Puppie Pouches Mixed Flavours 3 Pack,B08TZVC6YR,Slush puppie,9.89,26,257,93042,3.8,7,4,22,7,0,Amanah Good Ltd,Fresh & Chilled,Large Oversize,FBA,8.3x9.4x2.0,1.73,1/26/2021
932,"Morrisons Cloudy Apple Juice 100% Pressed Fruit, 1 Litre",B01CCVA56I,MORRISONS,1.3,3,4,95921,,1,5,482,7,19,,Fresh & Chilled,Large Oversize,,3.2x9.4x3.2,2.37,01-01-2016
933,"Innocent Orange Juice with Bits, 1.35 litre",B0132FLBEI,Innocent,1.96,2,4,97488,,2,5,402,6,12,,Fresh & Chilled,Large Oversize,,4.1x9.4x4.0,3.26,7/31/2015
934,Biona Pure Organic Tart Cherry Juice 1 Litre (Pack of 2),B01AUGAGBG,Biona,15.53,12,186,95807,6.91,2,5,8,7,0,Blukoo,Fresh & Chilled,Large Oversize,MFN,9.3x12.3x4.8,6.97,5/17/2013
935,Organic Aloe Vera Juice Shot 40ml - Inner Leaf - Rich in Acemannan - Cleansing and Hydrating,B07QLN51K4,Erbology,2.99,19,57,98585,2.46,1,5,1,1,0,Erbology,Grocery,Standard Parcel,FBA,2.4x3.5x1.4,0.11,1/14/2020
936,Slush Puppie Pouches Strawberry 6 Pack,B08TZWMXDC,Slush puppie,16.98,2,34,94904,4.8,1,4,3,7,0,Ocean Boulevard Ltd,Fresh & Chilled,Large Oversize,FBA,3.9x7.9x1.6,0.58,1/26/2021
937,"Innocent Apple Juice, 1.35L",B0132FJI7U,Innocent,2.05,2,4,101806,,2,5,460,6,5,,Fresh & Chilled,Large Oversize,,3.7x9.4x3.7,3.17,7/31/2015
938,Vimto 500ml Still Juice No Added Sugar Sportscap (Pack of 12) 1176 + Free FINCHLEY Pen,B08R66S7H4,FINCHLEY,26.99,,,,,2,,,,0,WowBoxMe,Fresh & Chilled,,MFN,,,12/22/2020
939,Regal Food Mango Juice 2L - Pack of 6- Summer Drinks,B08SF3RLV5,Regal FOOD PRODUCTS Bringing Food To Life,13.5,7,95,96471,,1,,,1,0,Regal Food Products,Fresh & Chilled,,MFN,,,01-07-2021
940,"Copella Cloudy Apple Juice, 1.5 Litre",B01E25T9RI,Copella,,1,,102998,,1,5,8,2,0,,All Departments,Large Oversize,,3.7x10.3x3.7,3.56,12/29/2015
941,Slush Puppie Pouches Blue Raspberry 6 Pack,B08V1HNXJ1,Slush puppie,17.85,3,54,102948,5.05,7,4,20,7,0,Aflahgoodsltd,Fresh & Chilled,Large Oversize,FBA,4.7x11.0x4.7,3.57,1/26/2021
942,"Tropicana Orange Juice Original with Bits, 1.6 L",B06XKKQKFB,Tropicana,,1,,106353,,1,5,214,10,0,,Fresh & Chilled,Large Oversize,,3.8x8.5x3.8,3.79,04-04-2017
943,Frobishers Pineapple Juice 250ml (Pack of 6),B09C5WCYDZ,Frobishers,13.95,10,140,104940,,1,,,2,0,MysticMoments,Fresh & Chilled,Large Oversize,MFN,10.8x12.9x8.1,6.97,7/21/2021
944,"Copella Apple, Cucumber and Mint Juice, 900ml",B07K28M3PR,Copella,,1,,109151,,1,4,26,2,0,,Fresh & Chilled,Large Oversize,,3.3x9.4x3.2,2.07,10/31/2018
945,"Morrisons 100% Fruit Apple & Mango Juice, 1L",B01C5YID6G,MORRISONS,1.3,1,1,109880,,2,5,749,6,0,,Fresh & Chilled,Large Oversize,,3.2x9.4x3.1,2.37,01-01-2016
946,"Innocent Not From Concentrate Tropical, 1.35 Litre",B0132FOH6M,Innocent,2.05,1,2,110033,,2,5,294,1,4,,Fresh & Chilled,Large Oversize,,3.1x9.1x3.1,3.09,7/31/2015
947,"Tropicana Original Orange Juice, 950ml",B06XNPCXY4,Tropicana,2.48,1,2,113890,,1,5,158,10,0,,Fresh & Chilled,Large Oversize,,3.1x9.3x3.0,2.25,04-06-2017
948,Frobishers Grapefruit Juice 250ml (Pack of 12),B09C5Z38PT,Frobishers,21.95,7,154,108334,,1,5,2,2,0,MysticMoments,Fresh & Chilled,Large Oversize,MFN,9.8x15.7x5.9,11.02,7/21/2021
949,"Morrisons Clementine Juice, 1 Litre",B01CE1I73E,MORRISONS,1.3,1,1,115093,,2,5,885,7,38,,Fresh & Chilled,Large Oversize,,3.1x9.4x3.1,2.38,01-01-2016
950,"Nosh Detox - The Raw Smoothie Detox Drink, All-Natural Detox Drinks for Weight Loss, Freshly Bottled and Ready-to-Drink Detox Drinks, Apple, Mint, and Spirulina, 8 Bottles x 250ml",B00UAO97NM,Nosh,31.35,7,219,114002,,1,5,7,7,0,,Fresh & Chilled,,MFN,,,3/22/2021
951,"DR WITT Premium Polish Drink 1LT X 6, Juice, Mix Drink, Fruit Juice, Mix Juice (Apple Cherry)",B092W2JCRQ,DR WITT,16.99,11,187,116483,7.88,1,4,3,1,0,Green Globe UK Ltd,Fresh & Chilled,Large Oversize,FBA,10.3x10.4x6.5,14.02,4/19/2021
952,"Tropicana Orange Juice with Extra Juicy Bits, 1.6L",B06XKVW38R,Tropicana,,,,120996,,1,5,160,12,0,,Fresh & Chilled,Large Oversize,,3.8x8.5x3.8,3.8,04-06-2017
953,"Tropicana Smooth Orange Juice, 950ml",B06XKVS8JP,Tropicana,2.48,,0,120732,,1,5,230,14,0,,Fresh & Chilled,Large Oversize,,5.6x9.3x3.0,2.25,04-06-2017
954,"Innocent Apple & Mango Juice, 1.35L",B0132FJIO8,Innocent,1.94,,0,121597,,1,5,147,1,0,,Fresh & Chilled,Large Oversize,,4.0x9.6x4.0,3.27,7/31/2015
955,"Morrisons Apple Juice with Elderflower, 1L",B01CE1I78E,MORRISONS,1.3,,0,121684,,1,5,270,7,5,,Fresh & Chilled,Large Oversize,,3.2x9.4x3.1,2.37,01-01-2016
956,"Copella Apple and Elderflower Juice, 1.5 Litre",B01E25T5KE,Copella,,,,122298,,1,5,5,2,0,,All Departments,Large Oversize,,3.7x10.3x3.7,3.59,12/29/2015
957,"Tropicana Orange Juice Smooth, 250ml (4 Pack)",B01E25VB6U,Tropicana,2.65,,0,125505,,1,5,124,5,5,,All Departments,Large Oversize,,4.4x5.8x4.1,2.36,12/29/2015
958,"Tropicana Pressed Apple Juice, 950ml",B06XL17V7Q,Tropicana,2.48,,0,126404,,1,5,107,6,0,,Fresh & Chilled,Large Oversize,,3.0x9.2x2.9,2.27,04-06-2017
959,"Tropicana Essentials Berry Boost Juice, 750 ml",B07993MMQG,Tropicana,,,,127000,,1,4,27,4,0,,Fresh & Chilled,Large Oversize,,3.0x9.0x2.9,1.87,1/25/2018
960,"Innocent Summer Fruits Juice, 1.35L",B0132FQMI8,Innocent,2.05,,0,127139,,2,5,291,1,5,,Fresh & Chilled,Large Oversize,,3.9x9.3x3.9,3.73,7/31/2015
961,Slush Puppie Pouches Strawberry 3 Pack,B08TZP19M6,Slush puppie,9.98,5,50,127534,3.03,2,5,5,7,0,Ocean Boulevard Ltd,Fresh & Chilled,Large Oversize,FBA,5.8x9.1x1.9,1.73,1/26/2021
962,"Tropicana Pinkgrapefruit Juice, 950ml",B06XKKNBS4,Tropicana,,,,129348,,1,5,129,12,2,,Fresh & Chilled,Large Oversize,,2.8x9.1x2.8,2.25,04-04-2017
963,"Tropicana Pineapple Juice, 850ml",B01DZSOAH2,Tropicana,2.48,,0,129237,,1,5,223,11,0,,Fresh & Chilled,Large Oversize,,2.8x9.1x2.8,2.03,12/29/2015
964,"innocent Mangoes, Passion Fruits and Apples Smoothie, 750ml",B0132FLLW0,Innocent,3.3,,0,131163,,2,5,203,1,2,,Fresh & Chilled,Large Oversize,,2.9x9.1x2.9,1.82,7/31/2015
965,Regal Bakery Apple Juice 2L,B08NZV9VSQ,Regal FOOD PRODUCTS Bringing Food To Life,2.5,3,8,133693,,1,,,1,0,Regal Food Products,Fresh & Chilled,,MFN,,,11/22/2020
966,"Copella Orange Juice with Juicy Bits, 1.5 Litre",B01E25T6W6,Copella,,,,135633,,1,5,2,2,0,,All Departments,Large Oversize,,3.7x10.3x3.7,3.58,12/29/2015
967,"Tropicana Essentials Vitality Juice, 750 ml",B079964W87,Tropicana,,,,137835,,1,4,6,5,0,,Fresh & Chilled,Large Oversize,,3.0x9.0x2.9,1.96,1/25/2018
968,"Tropicana Essentials Inner Balance Juice, 750ml",B07994LBCZ,Tropicana,,,,138850,,1,5,5,3,0,,Fresh & Chilled,Large Oversize,,3.0x9.0x2.9,1.86,1/25/2018
969,"Tropicana Tropical Fruit Juice , 1.6L",B06XL1G123,Tropicana,,,,139250,,1,5,110,12,0,,Fresh & Chilled,Large Oversize,,3.8x8.5x3.8,3.81,04-06-2017
970,"innocent Strawberries and Bananas Smoothie, 750ml",B0066AJ7UM,Innocent,3.3,,0,139609,,2,5,107,2,3,,Fresh & Chilled,Large Oversize,,3.0x9.1x2.9,1.67,11-11-2011
971,"Innocent Smoothie Energise Strawberry Cherry Apple Guarana & Flex Seeds, 750ml",B0132FKK54,Innocent,,,,140142,,1,4,6,1,0,,Fresh & Chilled,Large Oversize,,3.0x9.2x2.8,1.81,7/31/2015
972,"Tropicana Orange & Mango Juice, 850ml",B01E25UUZS,Tropicana,2.48,,0,143135,,1,5,101,12,5,,Fresh & Chilled,Large Oversize,,2.8x9.1x2.8,2.02,12/29/2015
973,"V Water Pomegranate & Blueberry Vitamin Water - Zero Sugar - No Artificials, 500ml",B08FXX38MR,V Water,,,,143259,,1,5,17,4,0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.7x7.7x2.7,1.17,5/31/2020
