,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
22,Starbucks Blonde Espresso Roast by Nespresso Coffee Pods 8 x 10 Capsules,B07X63HBQ4,STARBUCKS,28,12987,363636,23,6.78,4,5,23218,8,223,,Drinks,Large Oversize,AMZ,6.3x11.5x3.3,1.5,10/23/2019
23,"Andrex Washlets Classic Clean Toilet Tissue Wet Wipes with Micellar Water (Flushable Tissue Wipes), 12 Packs (480 Tissues)",B071LPLXQS,Andrex,12,13149,157788,24,5.98,42,5,11788,6,372,Amazon,Grocery,Large Oversize,AMZ,7.8x9.0x6.6,4.81,6/14/2017
24,"Bloo Power Active Toilet Rim Block Fresh Flowers with Anti-Limescale, Cleaning Foam, Dirt Protection and Extra Freshness - 1x 50g, Pack of 1",B072FTMZRS,Bloo,1,12663,12663,26,2.46,29,5,9747,7,377,Amazon,Grocery,Standard Parcel,AMZ,5.0x6.6x1.4,0.15,5/30/2017
25,"Whitley Neill Blood Orange Gin, 1 Litre",B07YCD8FFY,Whitley Neill,34.2,12432,425174,31,6.4,2,5,23301,3,305,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.7x10.6x3.6,3.73,9/24/2019
26,"Dr Beckmann Carpet Stain Remover with Cleaning applicator/brush-650ml, White, 10 x 30 x 35 cm",B006ZMNWYS,Dr. Beckmann,2.79,3783,10555,1,2.93,72,5,11572,1,280,Amazon,Automotive,Large Oversize,AMZ,4.5x10.6x2.7,1.54,6/23/2020
27,"Mr Muscle Drain Unblocker, Drain Cleaner Power Gel, 1 Litre",B075V2FD1V,Mr Muscle,3.5,12877,45070,29,3.05,14,5,11170,8,579,Amazon,Grocery,Large Oversize,AMZ,3.2x10.8x2.9,2.51,09-12-2017
28,Amazon Brand - Presto! 2-Ply Embossed Toilet Tissues Rolls - 18 Rolls,B092F68R3W,Presto!,7.36,13163,96880,30,2.93,1,5,20158,5,8207,Amazon,Grocery,Large Oversize,AMZ,11.4x13.0x7.9,0.88,7/23/2021
29,MONIN Premium Cinnamon Syrup 1 L,B004FN6TTO,Monin,9.35,12471,116604,28,3.42,12,5,20407,5,319,Amazon,Drinks,Large Oversize,AMZ,3.0x12.9x3.0,3.02,12-08-2010
30,"Finish All-in-One Max Dishwasher Tablets, LEMON, Multipack of 5 x 30, Total 150 Tablets",B08DDXQWMN,Finish,25.99,12954,336674,31,,4,5,19470,6,446,Trustu,Grocery,Large Oversize,MFN,9.1x15.7x7.7,6.39,7/20/2020
31,"Plenty Kitchen Towel, 6 White Rolls, 600 Sheets, 2-Ply Tissue",B07XD2YQ8N,Plenty,7,12806,89642,32,3.23,30,5,2930,4,490,Amazon,Grocery,Large Oversize,AMZ,11.3x15.2x9.6,3.04,07-01-2019
